Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 11:25:00;1,08491;1,08543;1,0848;1,0853;1,084043333;1,08471;1,08172186;0;0;1;0;83,41013825;79,47209053;1;0;1,085682671;1,082601329;0;0;67,47415424;0;0;0;0;1;0,039
2023-01-18 11:30:00;1,08529;1,08603;1,08505;1,08558;1,084210476;1,084892857;1,081899302;0;0;1;0;82,28346457;77,04379694;1;0;1,085826607;1,082726393;0;0;69,01305975;0;0;0;0;0;0,028
2023-01-18 11:35:00;1,08558;1,08584;1,08535;1,08551;1,084335238;1,085121429;1,082064651;0;0;1;0;79,52755906;81,74038729;0;0;1,085832951;1,083019049;0;0;68,14501495;0;0;0;0;1;-0,007
2023-01-18 11:40:00;1,08552;1,08598;1,08532;1,08583;1,084492857;1,085292857;1,082236279;0;0;1;0;92,12598425;84,64566929;1;0;1,086004851;1,083086149;0;0;70,00252905;0;0;0;0;1;0,032
2023-01-18 11:45:00;1,08583;1,08636;1,08567;1,08626;1,084627143;1,085537143;1,082415814;0;0;1;0;96,51567944;89,38974092;1;0;1,086173147;1,083241853;1;0;72,33684475;0;0;0;0;1;0,043
2023-01-18 11:50:00;1,08627;1,08646;1,08615;1,08632;1,084784286;1,085672857;1,082597209;0;0;1;0;95,28619529;94,64261966;1;0;1,086374593;1,083316407;0;0;72,65658345;0;0;0;0;1;0,006
2023-01-18 11:55:00;1,08633;1,08714;1,08631;1,08697;1,084946667;1,085967143;1,082786744;0;0;1;0;95,34246575;95,71478016;1;0;1,086750997;1,083150003;1;0;75,90562948;0;0;0;0;0;0,065
2023-01-18 12:00:00;1,08697;1,08699;1,0861;1,0862;1,08501;1,086095714;1,082965814;0;0;1;0;73,44632768;88,02499624;0;0;1,086905795;1,083163205;0;0;65,91387044;0;0;0;0;1;-0,077
2023-01-18 12:05:00;1,08624;1,08645;1,08612;1,08626;1,085092857;1,086192857;1,08315;0;0;1;0;74,56647399;81,11842248;0;0;1,087046213;1,083219787;0;0;66,28627917;0;0;0;0;0;0,006
2023-01-18 12:10:00;1,08627;1,08635;1,08556;1,08561;1,085155714;1,086207143;1,083313721;0;0;1;0;55,78034682;67,9310495;0;0;1,0870903;1,0832797;0;0;58,792347;0;0;0;0;1;-0,065
2023-01-18 12:15:00;1,08561;1,08613;1,08555;1,0859;1,085219048;1,086217143;1,083483256;0;0;1;0;54,07407407;61,47363163;0;0;1,087143043;1,083394957;0;0;60,91540129;0;0;0;0;0;0,029
2023-01-18 12:20:00;1,08591;1,08607;1,08551;1,08561;1,085285238;1,086124286;1,083653023;0;0;1;0;41,82509506;50,55983865;0;0;1,087144905;1,083539095;0;0;57,71323891;0;0;0;0;0;-0,029
